"Crop","Crop_Year","Season","State","Area","Annual_Rainfall","Fertilizer","Pesticide","Yield"
"Potato",1997,"Whole Year","Assam",75259,2051.4,7162399.03,23330.29,7.561304348
"Rice",1997,"Autumn","Assam",607358,2051.4,57802260.86,188280.98,0.780869565
"Rice",1997,"Summer","Assam",174974,2051.4,16652275.58,54241.94,1.060434783
"Rice",1997,"Winter","Assam",1743321,2051.4,165911859.6,540429.51,0.941304348
"Wheat",1997,"Rabi","Assam",84698,2051.4,8060708.66,26256.38,1.25952381
"Ginger",1997,"Kharif","Karnataka",3619,1266.7,344420.23,1121.89,1.262307692
"Rice",1997,"Kharif","Karnataka",1031530,1266.7,98170710.1,319774.3,2.2335
"Rice",1997,"Rabi","Karnataka",53889,1266.7,5128616.13,16705.59,2.073846154
"Rice",1997,"Summer","Karnataka",268044,1266.7,25509747.48,83093.64,2.829444444
"Wheat",1997,"Rabi","Karnataka",250698,1266.7,23858928.66,77716.38,0.548333333
"Ginger",1997,"Kharif","Meghalaya",7357,3818.2,700165.69,2280.67,6.054285714
"Potato",1997,"Whole Year","Meghalaya",20764,3818.2,1976109.88,6436.84,8.641428571
"Rice",1997,"Kharif","Meghalaya",105170,3818.2,10009028.9,32602.7,1.378571429
"Wheat",1997,"Rabi","Meghalaya",4287,3818.2,407993.79,1328.97,1.385
"Potato",1997,"Whole Year","West Bengal",284015,1852.9,27029707.55,88044.65,18.23722222
"Rice",1997,"Autumn","West Bengal",423121,1852.9,40268425.57,131167.51,1.837222222
"Rice",1997,"Summer","West Bengal",1206829,1852.9,114853915.9,374116.99,2.843888889
"Rice",1997,"Winter","West Bengal",4270328,1852.9,406407115.8,1323801.68,1.985555556
"Wheat",1997,"Rabi","West Bengal",367374,1852.9,34962983.58,113885.94,1.886666667
"Rice",1998,"Kharif","Puducherry",4945,1434.5875,488566,1434.05,2.46
"Rice",1998,"Rabi","Puducherry",13961,1434.5875,1379346.8,4048.69,2.555
"Rice",1998,"Summer","Puducherry",5716,1434.5875,564740.8,1657.64,2.55
"Potato",1998,"Whole Year","Assam",76958,2354.4,7603450.4,22317.82,7.230434783
"Rice",1998,"Autumn","Assam",594979,2354.4,58783925.2,172543.91,1.055652174
"Rice",1998,"Summer","Assam",223913,2354.4,22122604.4,64934.77,1.685217391
"Rice",1998,"Winter","Assam",1635230,2354.4,161560724,474216.7,1.395652174
"Wheat",1998,"Rabi","Assam",89591,2354.4,8851590.8,25981.39,0.999545455
"Rice",1998,"Kharif","Goa",41000,2964.9,4050800,11890,2.54
"Rice",1998,"Rabi","Goa",15439,2964.9,1525373.2,4477.31,3.04
"Ginger",1998,"Kharif","Karnataka",3896,1260.8,384924.8,1129.84,12.75944444
"Potato",1998,"Kharif","Karnataka",28755,1260.8,2840994,8338.95,12.37333333
"Potato",1998,"Rabi","Karnataka",4173,1260.8,412292.4,1210.17,18.90714286
"Potato",1998,"Summer","Karnataka",1137,1260.8,112335.6,329.73,17.6
"Potato",1998,"Whole Year","Karnataka",268,1260.8,26478.4,77.72,14.59
"Rice",1998,"Kharif","Karnataka",1079193,1260.8,106624268.4,312965.97,2.310740741
"Rice",1998,"Rabi","Karnataka",51782,1260.8,5116061.6,15016.78,2.054285714
"Rice",1998,"Summer","Karnataka",295830,1260.8,29228004,85790.7,2.99375
"Wheat",1998,"Rabi","Karnataka",268981,1260.8,26575322.8,78004.49,0.848823529
"Ginger",1998,"Whole Year","Kerala",11107,3151.5,1097371.6,3221.03,2.93
"Rice",1998,"Autumn","Kerala",120217,3151.5,11877439.6,34862.93,1.856923077
